,Product_Name,Product_Rating,Product_Price
0,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
1,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
2,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
3,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
4,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
5,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
6,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
7,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
8,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
9,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
10,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
11,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
12,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
13,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
14,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
15,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
16,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
17,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
18,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
19,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
20,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
21,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
22,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
23,IAIR S19,3.9,"₹1,299"
24,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
25,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
26,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
27,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
28,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
29,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
30,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
31,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
32,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
33,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
34,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
35,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
36,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
37,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
38,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
39,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
40,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
41,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
42,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
